,checkname,school,hospital,park,retail
3997,谢家庄村委会,172,14,11,616
1011,李屋村民委员会,172,15,5,421
3551,洋新村委会,173,6,7,200
3589,乌洋村委会,173,11,4,229
4362,新庄村委会,173,18,18,286
3603,龙下村委会,174,12,4,185
4361,新民村委会,174,15,6,125
5229,凤美村委会,174,15,9,197
4356,联合村委会,174,21,9,897
5363,竹塘村村民委员会,174,23,11,763
932,新田村委会,174,24,17,245
3967,金山村民委员会,174,24,38,406
518,新明村委会,175,15,6,130
3621,新联村委会,176,16,4,188
2503,光明村民委员会,176,16,6,381
3689,凤壶村委会,177,6,8,237
3549,港后村委会,178,7,8,196
1752,洪湖村民委员会,178,16,6,405
3062,青洋山村委会,178,19,8,200
5072,大罗村委会,178,25,40,414
3719,南徽村委会,180,10,8,225
1754,太阳村民委员会,180,11,3,230
1835,维布村民委员会,180,13,5,318
2310,青洋山村委会,180,19,8,202
4357,合成村委会,180,25,12,916
3579,南陇村委会,181,10,7,243
5228,龙头村委会,181,16,5,243
3553,崎沟村委会,183,13,9,194
5286,张坑村村民委员会,183,37,33,830
2505,万松村民委员会,184,11,3,242
5274,企石村村民委员会,184,30,12,768
2586,土湖村民委员会,185,13,5,325
5053,马龙村委会,185,16,36,285
3641,下张村委会,185,17,5,259
5279,隔坑村村民委员会,185,41,30,796
3544,三合村委会,186,12,6,242
5081,仙塘村委会,186,14,17,386
2313,占苏村委会,186,17,5,195
88,新胜村民委员会,187,12,7,575
927,南金村委会,188,14,17,369
3065,占苏村委会,188,17,5,195
5054,上僚村委会,188,18,36,269
3528,上西沟村委会,189,11,8,221
3648,亭厦村委会,189,13,10,214
3609,黄厝巷村委会,189,15,4,239
5375,太公岭村村民委员会,189,22,29,545
5345,浮岗村村民委员会,189,23,13,560
3954,福涌村民委员会,190,9,9,222
3580,泮洋村委会,190,12,5,264
2316,练江村委会,190,17,6,220
3968,桥山村民委员会,190,22,41,490
5254,茶山村村民委员会,190,37,42,789
5255,横江村村民委员会,190,37,42,796
1125,岗丰村委会,191,5,15,227
2532,罗村村民委员会,191,12,2,234
114,横东村民委员会,191,16,12,544
3693,前埔村委会,192,10,11,278
3675,仙马村委会,192,10,11,280
3542,美西村委会,192,10,11,285
3581,吉林村委会,192,14,6,273
3605,田头村委会,192,15,4,230
86,益隆村民委员会,192,20,8,752
5052,水口村委会,192,20,33,312
3588,福洞村委会,193,14,5,264
3604,下陇村委会,193,15,4,227
4003,夏良村委会,193,16,29,801
3068,练江村委会,193,17,6,215
3952,赤岗村民委员会,193,18,87,269
3925,沙溪村民委员会,193,22,29,487
5374,梅林村村民委员会,194,22,29,551
5372,大沙村村民委员会,194,23,22,491
5246,梁家村村民委员会,194,33,17,707
120,三沙村民委员会,195,14,6,904
3624,和平村委会,196,17,2,272
5377,矮岭冚村村民委员会,196,23,8,511
5283,六甲村村民委员会,196,28,22,737
1781,新乐村村民委员会,197,12,2,234
1764,冷水坑村民委员会,197,14,7,276
3625,红旗村委会,197,17,2,279
5362,黄洞村村民委员会,197,24,11,794
2515,马庄村民委员会,198,14,7,277
2770,潭蔡村委会,198,15,7,206
5060,新隆村委会,198,23,37,407
5364,三联村村民委员会,198,26,17,812
5310,沙湖口村村民委员会,198,29,22,727
5417,吴家涌村村民委员会,198,31,9,744
3550,内新村委会,199,8,7,222
5231,上头合村委会,199,13,17,280
3608,陈厝巷村委会,199,15,4,239
3622,仙安村委会,199,18,4,228
4234,吉利村民委员会,199,20,21,357
5351,三星村村民委员会,200,35,13,725
3532,陈禾陂村委会,201,14,7,244
2018,潭蔡村委会,201,15,7,203
3659,刘陇村委会,202,9,8,233
3646,砚前村委会,202,14,10,240
3620,水美村委会,202,17,4,266
125,西山社区居民委员会,202,20,11,294
5087,西庆村委会,202,23,36,376
5058,西海村委会,203,9,27,302
3633,东里村委会,203,13,10,247
3682,湄洲村委会,203,14,7,244
3647,大干村委会,203,14,10,245
4005,园夏村委会,203,21,39,948
5245,沙腰村村民委员会,203,31,13,817
5416,袁家涌村村民委员会,203,32,9,727
3607,辜厝村委会,204,16,4,237
3545,福潭村委会,204,19,10,262
5088,万安村委会,204,20,30,366
5367,马蹄岗村村民委员会,204,30,23,667
3537,溪美朱村委会,205,12,7,279
5068,岳步村委会,205,20,30,334
5376,百花洞村村民委员会,205,24,42,534
3617,贾里村委会,206,18,2,286
5256,卢边村村民委员会,206,32,26,889
3548,范溪村委会,207,12,7,257
3631,金三村委会,207,16,3,294
3606,厂头村委会,207,18,4,243
3623,龙吉美村委会,208,17,4,259
3966,凌边村民委员会,209,18,28,347
3618,院前村委会,209,19,2,272
2319,西社新北村委会,209,19,9,247
5080,旺岗村委会,209,21,30,340
3652,乔林村委会,210,18,9,258
5420,蕉利村村民委员会,210,30,13,646
5401,厚德村村民委员会,210,34,31,501
3650,林厝村委会,211,17,9,255
3071,西社新北村委会,211,19,9,246
3574,东门村委会,212,15,9,303
3642,沟边村委会,212,20,5,309
4007,永兴村委会,212,22,14,1024
5350,大利村村民委员会,212,36,15,648
3634,华桥村委会,213,17,5,319
5384,陈村社区居民委员会,213,27,44,975
5258,南社村村民委员会,213,29,29,817
5278,石涌村村民委员会,213,41,28,838
3547,流溪村委会,214,14,7,269
3536,深沟村委会,214,16,10,334
3535,西岐村委会,215,16,10,331
1836,新塘村民委员会,216,14,5,425
2320,莲坛村委会,216,20,5,248
82,安乐村民委员会,216,20,21,564
5290,禾坑村村民委员会,216,38,18,770
3951,南派村民委员会,217,19,78,305
5348,重河村村民委员会,217,24,16,601
5230,华埠村委会,218,18,14,216
3072,莲坛村委会,218,20,5,258
129,雍陌村民委员会,218,22,17,329
1106,品清村委会,219,19,10,235
128,大布村民委员会,219,20,14,325
1840,岩前村民委员会,220,14,25,403
3546,新溪西村委会,220,21,7,292
3987,建南村委会,220,27,36,1027
2591,茶园村民委员会,221,14,25,388
3630,金二村委会,221,16,3,327
3626,宏安一村委会,222,16,2,316
3627,金东村委会,222,17,2,325
5227,蓬中村委会,223,23,4,306
5079,新华西村委会,224,16,27,403
4006,南岭村委会,225,26,36,1117
3518,潮东村委会,226,19,9,299
2587,维布村民委员会,227,14,5,433
3517,华桥村委会,227,19,9,303
1702,金山村委会,228,9,4,231
3636,华美二村委会,228,17,3,320
100,曹二村民委员会,228,21,34,781
5071,道教村委会,228,27,42,417
3516,练南村委会,229,21,9,299
3655,厦吴村委会,229,22,9,297
5370,金桔村村民委员会,229,25,24,541
5380,大塘村村民委员会,229,25,28,650
3703,许厝村委会,231,10,9,294
5136,中东西村委会,231,16,24,310
2764,洪住村委会,232,33,9,151
2453,新风村委会,233,9,4,243
3991,米龙村委会,233,15,13,746
5361,塘沥村村民委员会,233,27,11,774
2012,洪住村委会,233,33,9,148
3704,槐泽村委会,234,10,9,290
3575,南门村委会,235,15,7,328
5082,沙富村委会,235,18,25,377
1767,东升村民委员会,236,7,2,602
5057,桃村村委会,236,9,27,324
5352,谢坑村村民委员会,237,40,18,849
5055,西滘村委会,239,14,33,257
4235,龙津村民委员会,239,27,30,363
5051,莘村村委会,240,17,33,339
5369,元岭村村民委员会,240,27,12,555
1778,竹仔园村民委员会,241,14,10,305
2518,湖山村民委员会,242,7,2,599
1850,联溪村民委员会,242,7,3,664
2529,陶前村民委员会,242,14,10,307
3538,华里西村委会,242,18,9,375
133,塘敢村民委员会,243,21,15,322
3658,文里村委会,244,15,5,325
2601,皇后村民委员会,245,7,3,656
4330,杨二村委会,245,20,9,359
5282,田坑村村民委员会,245,45,29,781
94,古一村民委员会,246,9,34,776
5368,新塘村村民委员会,246,29,32,774
905,东湾村民委员会,247,10,19,225
5050,大都村委会,247,15,38,292
3531,西港村委会,248,21,10,308
4236,梧村村民委员会,248,24,26,390
3961,官涌村民委员会,249,19,49,369
3635,华美一村委会,249,20,6,341
947,河村社区居委会,249,20,36,553
3519,陇美村委会,249,24,9,353
3657,凤岐村委会,251,19,8,303
5400,北永村村民委员会,251,32,29,582
5244,四甲村村民委员会,251,45,19,1069
5073,路州村委会,252,21,42,405
126,乌石村民委员会,252,23,17,469
4237,河滘村民委员会,252,26,28,405
4953,六驿村委会,253,16,6,205
5366,天堂围村村民委员会,253,24,22,860
5406,小河村村民委员会,253,33,31,543
5349,清厦村村民委员会,254,37,16,806
92,古三村民委员会,255,9,35,749
93,古二村民委员会,257,9,35,777
3665,古板头村委会,257,25,13,210
5389,新塘社区居民委员会,257,28,32,815
3539,上底村委会,258,20,12,379
3712,东湾村委会,258,24,9,377
949,流潮社区居委会,258,25,38,641
5061,葛岸村委会,258,27,41,445
3599,鹳四村委会,259,14,9,292
5083,集北村委会,259,22,31,446
3543,下方村委会,260,7,14,375
3522,拱桥村委会,260,21,12,390
99,曹一村民委员会,261,14,35,789
3515,下东埔村委会,263,23,9,356
3032,新寨村委会,264,22,10,349
2522,小铁村民委员会,265,13,3,483
5399,南城村村民委员会,265,36,18,561
2280,新寨村委会,266,22,10,346
83,和泰村民委员会,266,25,18,658
3917,会江村民委员会,267,21,39,604
3540,仙港村委会,268,23,13,398
3962,南浦村民委员会,269,24,24,417
1771,乌石村民委员会,270,13,3,485
4239,贺丰村民委员会,270,30,35,409
95,六坊村民委员会,271,13,37,761
3521,溪南村委会,271,21,12,390
5257,增埗村村民委员会,271,33,27,930
5307,黄泥塘村村民委员会,271,44,24,849
91,古四村民委员会,272,10,35,783
3524,洋汾陈村委会,272,22,11,401
5226,李厝村委会,272,29,4,350
5323,浮竹山村村民委员会,272,36,29,796
97,冈东村民委员会,273,15,37,751
5311,松柏塘村村民委员会,274,44,22,828
3523,拱上村委会,275,23,11,389
3957,低涌村民委员会,276,12,12,248
3702,建阳村委会,277,9,12,327
3478,仙田二村委会,277,25,13,248
3530,东沟村委会,278,23,9,361
3049,光南村委会,278,23,11,364
5344,荔横村村民委员会,278,30,17,764
5259,塘角村村民委员会,278,31,43,770
4238,杏头村民委员会,278,32,33,439
96,七坊村民委员会,279,16,38,807
98,冈南村民委员会,280,13,36,726
2297,光南村委会,280,23,11,362
5385,黄村社区居民委员会,280,36,43,1070
3934,新桥村民委员会,282,23,40,467
5067,小涌村委会,282,24,48,369
5326,小坑村村民委员会,282,40,29,791
3558,鹤联村委会,284,21,9,357
5402,蔡白村村民委员会,284,40,22,632
5281,田头村村民委员会,284,54,29,948
3526,西沟村委会,285,24,12,386
3527,沟头村委会,285,25,13,383
5324,药勒村村民委员会,285,45,30,996
5066,大墩村委会,286,25,49,404
5387,南面社区居民委员会,286,45,46,637
3591,三胜村委会,287,23,8,335
5242,刘屋村村民委员会,287,42,29,1094
3552,浮草村委会,288,25,13,379
3559,新庆村委会,289,23,8,352
3960,石基村民委员会,289,25,23,440
3529,英大埔村委会,289,28,14,392
5137,楼冲村委会,290,19,31,389
3525,洋汾林村委会,290,25,13,376
5360,凤德岭村村民委员会,293,29,11,735
5065,荷村村委会,295,27,47,396
2056,东湖村委会,296,28,17,266
3573,白云村委会,297,18,7,389
77,长命水村民委员会,297,18,39,209
101,曹三村民委员会,298,12,34,893
5063,上华村委会,298,33,40,490
5135,镇南村委会,299,22,19,432
1131,东洲村委会,300,22,17,736
2808,东湖村委会,301,28,17,258
2534,金星村民委员会,301,34,7,233
1769,联和村民委员会,302,12,4,537
3562,溪尾周村委会,303,28,13,377
3077,竹头村委会,304,31,8,425
1130,久裕村委会,305,18,10,771
2791,桂东村委会,305,24,12,291
2039,桂东村委会,306,24,12,294
5356,四村社区居民委员会,306,24,30,890
3698,蔡寮村委会,307,14,9,352
3031,西陇村委会,307,32,10,409
2766,陇上村委会,307,32,10,411
5062,良教村委会,307,36,29,430
2014,陇上村委会,308,32,10,406
2520,五一村民委员会,309,12,4,535
2325,竹头村委会,309,31,8,423
2279,西陇村委会,309,32,10,412
5306,漱新村村民委员会,310,44,19,855
938,罗村社区居委会,311,31,30,578
5225,内陇村委会,312,32,4,384
5247,桔洲村村民委员会,313,41,23,1076
5248,单屋村村民委员会,314,36,21,924
2285,新丰村委会,314,39,12,406
2517,冰塘村民委员会,315,25,15,718
5317,富竹山村村民委员会,315,48,24,982
2040,棉洋村委会,317,31,14,286
5243,横滘村村民委员会,317,46,29,1211
1013,湖山村民委员会,318,25,15,694
1766,湖山村民委员会,318,25,15,712
5331,洋乌村村民委员会,318,35,36,787
5332,洋坑塘村村民委员会,318,35,37,720
3037,新丰村委会,318,39,12,411
5296,黄屋村村民委员会,319,58,32,1129
2792,棉洋村委会,320,31,14,287
5327,长坑村村民委员会,323,42,53,809
3964,莲塘村民委员会,326,29,33,589
4333,新和村委会,327,22,21,451
102,海洲村民委员会,327,34,26,700
5325,陈家埔村村民委员会,330,49,27,1114
3938,梅山村民委员会,331,23,39,515
4231,溶洲村民委员会,331,32,42,562
2769,江滨村委会,333,25,8,304
3705,槐东村委会,334,14,12,381
2017,江滨村委会,337,25,8,300
3710,南湾村委会,337,25,9,415
3931,茶东村民委员会,338,31,47,645
5305,土塘村村民委员会,341,45,32,969
1133,坭紫村委会,345,18,15,829
3963,永善村民委员会,349,26,27,561
5391,杨公洲村村民委员会,351,28,26,770
5267,燕窝村村民委员会,352,40,37,847
2284,塘边村委会,353,50,12,497
5309,横江厦村村民委员会,354,54,28,952
3036,塘边村委会,355,50,12,495
5397,稔洲村村民委员会,358,51,47,1005
1128,三联村委会,359,28,25,243
5328,高英村村民委员会,359,55,30,1402
5295,东坑村村民委员会,359,57,32,1195
1833,桥背村民委员会,362,19,10,516
5316,良边村村民委员会,362,56,29,1280
3701,陈厝洲村委会,363,19,8,397
5300,还珠沥村村民委员会,364,41,25,1044
5339,石厦村村民委员会,366,24,38,893
946,草场社区居委会,366,46,44,867
5241,石碣村村民委员会,366,48,33,1227
3928,屏山一村民委员会,367,25,34,463
5308,元江元村村民委员会,368,52,24,921
3653,官路村委会,371,26,8,431
5390,涌口社区居民委员会,371,32,30,877
3567,枫洋四村委会,372,22,7,464
5322,石龙坑村村民委员会,373,48,35,1245
3929,屏山二村民委员会,375,25,37,442
5313,西溪村村民委员会,375,55,30,1284
5312,上坑村村民委员会,381,51,27,893
3706,立德村委会,382,21,11,416
5299,袁山贝村村民委员会,385,35,33,1171
5329,蔡边村村民委员会,385,42,27,1151
1136,瑶田村委会,387,14,19,689
3959,雁洲村民委员会,391,25,21,568
1768,五一村民委员会,392,15,5,982
3709,窖西村委会,392,28,10,489
1123,庆丰村委会,392,31,26,294
5318,向西村村民委员会,395,39,51,1038
5388,寮厦社区居民委员会,396,32,31,933
2290,贵政山村委会,396,60,13,540
2602,联溪村民委员会,397,77,26,326
5251,西湖村村民委员会,398,48,41,936
5359,油甘埔村村民委员会,399,26,29,800
85,永益村民委员会,399,34,24,696
5335,佛子凹村村民委员会,399,42,39,1136
2519,东升村民委员会,402,15,5,978
5314,凫山村村民委员会,404,58,33,1259
3042,贵政山村委会,404,60,13,534
3046,高埕村委会,405,47,14,543
2294,高埕村委会,405,47,14,561
5301,朗贝村村民委员会,406,55,28,1199
3927,大洲村民委员会,407,27,40,496
5252,黄家山村村民委员会,407,31,24,771
1137,新何村委会,408,18,21,951
3937,板桥村民委员会,409,24,28,535
5357,雁田村村民委员会,410,27,20,703
3935,坑头村民委员会,414,20,23,372
5341,沙步村村民委员会,414,34,41,1134
2283,塔丰村委会,414,65,13,583
1138,甘涌村委会,417,20,15,931
5249,涌口村村民委员会,417,46,28,1209
2269,东埔村委会,418,59,13,558
3035,塔丰村委会,418,65,13,589
3576,大埕村委会,419,32,9,535
5333,松柏朗村村民委员会,419,44,39,1101
3700,沟内村委会,424,27,8,441
3711,北湾村委会,424,32,10,504
5302,板石村村民委员会,427,57,27,1184
3021,东埔村委会,427,59,13,564
2336,马坝村民委员会,428,52,11,256
5330,水口村村民委员会,429,43,30,1346
3088,马坝村民委员会,429,52,11,250
1765,冰塘村民委员会,433,28,16,433
3936,市头村民委员会,434,21,21,472
5340,杨涌村村民委员会,435,34,40,1049
5298,苏坑村村民委员会,437,61,32,1499
5334,黎贝岭村村民委员会,438,49,34,1205
2516,冷水坑村民委员会,439,28,16,443
84,穗成村民委员会,443,34,27,692
5408,大岭丫村村民委员会,443,42,35,740
3699,下村村委会,444,28,8,453
3915,猛涌村民委员会,450,23,37,732
3564,珠埕村委会,451,21,6,529
106,圣狮村民委员会,452,32,23,821
2020,华清村委会,454,33,9,438
107,沙溪村民委员会,454,33,26,873
2318,西社西南村委会,455,61,18,656
3651,仙溪村委会,456,37,14,467
3565,枫洋二村委会,458,27,8,565
3070,西社西南村委会,460,61,18,665
2772,华清村委会,461,33,9,435
4340,凤凰村委会,462,27,31,544
3697,渡亭村委会,464,30,10,470
5250,西南村村民委员会,465,45,28,1148
5240,水南村村民委员会,467,53,39,1296
4230,上元村民委员会,467,53,43,684
948,洲村社区居委会,468,47,54,1050
3030,南园村委会,468,63,20,702
5297,岗梓村村民委员会,470,61,32,1121
2278,南园村委会,470,63,20,693
2293,山湖村委会,472,64,19,644
3023,泗竹埔村委会,473,62,16,657
3045,山湖村委会,474,64,19,641
5102,霞中村委会,476,41,13,545
2271,泗竹埔村委会,480,62,16,662
3069,西楼村委会,481,67,17,677
2317,西楼村委会,482,67,17,674
3654,梅溪村委会,484,29,9,536
3939,樟边村民委员会,485,26,39,651
3958,长坦村民委员会,487,32,22,408
3034,钟潭村委会,488,70,17,696
3914,植村村民委员会,489,23,37,729
2282,钟潭村委会,489,70,17,690
3696,前美村委会,491,35,11,541
3921,山西村民委员会,492,21,38,765
3073,石桥头村委会,492,66,18,699
3649,美乡村委会,495,41,13,623
5224,南社村委会,496,46,10,556
2321,石桥头村委会,496,66,18,693
3656,外文村委会,497,41,13,619
3945,员岗村民委员会,502,25,26,717
2513,下角村民委员会,503,33,18,713
5321,上屯村村民委员会,503,53,58,1037
3730,明德村委会,504,46,10,555
2266,秀陇村委会,514,68,16,736
3664,樟厝洲村委会,516,44,14,620
3569,孚中村委会,518,28,6,568
4224,石头村民委员会,521,41,56,641
1762,三新村民委员会,523,33,18,712
3018,秀陇村委会,523,68,16,724
3024,泗竹仔村委会,523,69,16,750
3920,北联村民委员会,524,25,38,784
2272,泗竹仔村委会,524,69,16,761
3912,河村村民委员会,525,24,39,780
2281,小扬美村委会,527,69,18,750
3033,小扬美村委会,529,69,18,746
3566,枫洋三村委会,534,30,6,622
1763,马庄村民委员会,538,34,16,545
3913,礼村村民委员会,539,27,37,779
2514,三新村民委员会,540,34,16,549
3041,上寮村委会,541,72,18,769
2289,上寮村委会,545,72,18,788
3940,江南村民委员会,547,30,44,746
2275,赵厝寮村委会,549,77,17,822
3930,都那村民委员会,551,38,48,820
3027,赵厝寮村委会,552,77,17,821
3019,华溪村委会,555,74,17,815
3020,光草洋村委会,556,70,18,763
2267,华溪村委会,557,74,17,801
3040,新寮村委会,561,74,21,818
2288,新寮村委会,562,74,21,812
4332,龙口村委会,563,31,38,581
3600,远光村委会,563,49,16,634
2268,光草洋村委会,566,70,18,777
4229,东村村民委员会,567,55,50,737
3918,官坑村民委员会,570,25,35,875
3732,鸿三村委会,576,92,14,468
3923,东联村民委员会,579,26,39,899
3016,新坛村委会,579,71,20,834
3472,陈桥村委会,580,60,15,650
3017,斗文村委会,580,72,19,835
3919,大兴村民委员会,581,27,34,891
2274,平湖村委会,581,77,18,867
5383,乌沙社区居民委员会,583,43,39,1500
3969,文边村民委员会,584,41,30,728
2264,新坛村委会,584,71,20,855
2265,斗文村委会,585,72,19,821
3943,塘西村民委员会,587,28,27,784
2277,白沙陇村委会,589,74,21,855
3029,白沙陇村委会,591,74,21,844
3026,平湖村委会,591,77,18,849
3944,新基村民委员会,593,27,27,757
3025,军屯村委会,593,77,20,866
2273,军屯村委会,596,77,20,842
5319,下岭贝村村民委员会,600,41,51,1110
3028,赤水村委会,600,78,21,877
2454,金山村委会,601,73,46,403
108,会,603,45,20,764
2276,赤水村委会,604,78,21,882
3015,新安村委会,610,75,18,871
2263,新安村委会,616,75,18,886
3911,涌口村民委员会,621,26,35,827
3941,里仁洞村民委员会,626,28,30,855
4019,大罗村委会,626,47,62,903
105,乐群村民委员会,635,50,42,1083
3568,崎头村委会,649,46,9,736
3933,傍江东村民委员会,666,51,47,880
3475,云梯村委会,678,68,19,780
3910,蚬涌村民委员会,680,30,38,897
5320,竹园村村民委员会,693,45,59,1224
3615,下西林村委会,698,67,15,811
3471,花园村委会,707,67,19,817
4223,沙岗村民委员会,718,62,59,861
3476,西塘村委会,719,64,18,812
5358,官井头村村民委员会,722,36,47,835
3953,赤山东村民委员会,731,45,41,431
3477,塘边村委会,738,65,14,844
4225,鄱阳村民委员会,749,62,60,812
3470,凤山村委会,752,67,16,879
5407,昌平村村民委员会,762,62,39,940
3469,东埔村委会,762,67,16,862
5418,鹤田村村民委员会,763,62,39,929
3473,大新乡村委会,763,70,23,848
5404,九曲村村民委员会,770,62,39,958
3474,竹围村委会,772,70,23,856
109,七村社区居民委员会,810,48,27,829
103,龙瑞村民委员会,831,59,65,1207
5232,西南村委会,836,38,28,745
1761,下角村民委员会,838,63,42,686
3932,新水坑村民委员会,843,59,50,941
2512,东平村民委员会,856,63,42,667
945,黄岐社区居委会,917,92,84,1419
104,云汉村民委员会,918,57,70,1282
3679,玉窖村委会,1134,80,37,1016
1760,东平村民委员会,1339,95,52,1222
2511,大道村民委员会,1363,95,52,1218